city,country,date,lat,lng,temp,humd,wind,cloud
Cairns,AU,1613200566,-16.9167,145.7667,86.0,70,9.22,90
Porto Velho,BR,1613200470,-8.7619,-63.9039,77.0,94,2.3,0
Blairmore,CA,1613200677,49.6,-114.4353,-13.0,76,1.14,58
Henties Bay,NA,1613200678,-22.116,14.2845,68.16,90,5.48,100
San Miguel de Tucumán,AR,1613200679,-26.8241,-65.2226,68.0,88,6.91,40
Dalian,CN,1613200528,38.9122,121.6022,44.6,76,6.71,0
Douglas,US,1613200682,41.3,-96.167,-0.99,77,8.05,90
Sept-Îles,CA,1613200682,50.2001,-66.3821,15.8,67,4.61,90
Viranşehir,TR,1613200684,37.2353,39.7631,53.74,59,3.85,0
Ingham,US,1613200686,42.6,-84.3833,16.0,86,3.44,90
Les Cayes,HT,1613200687,18.2,-73.75,74.75,79,7.81,7
Bonthe,SL,1613200688,7.5264,-12.505,75.4,90,3.36,1
Mangan,IN,1613200689,27.5167,88.5333,68.76,36,6.71,76
Bam,IR,1613200690,29.106,58.357,70.88,19,6.58,0
Shahreza,IR,1613200691,32.0339,51.8794,53.8,34,1.79,0
Sola,VU,1613200692,-13.8833,167.55,84.2,84,8.41,90
Vanimo,PG,1613200694,-2.6741,141.3028,79.86,80,3.18,100
Roswell,US,1613200578,34.0232,-84.3616,39.99,93,4.61,90
San Rafael,AR,1613200696,-34.6177,-68.3301,71.19,58,4.54,8
Batagay,RU,1613200697,67.6333,134.6333,-17.19,86,0.47,73
Dodola,ET,1613200698,6.9833,39.1833,63.0,47,2.77,49
Sørland,NO,1613200699,67.667,12.6934,32.0,64,9.22,75
Humaitá,BR,1613200700,-7.5061,-63.0208,73.67,95,1.28,99
Uruçuí,BR,1613200702,-7.2294,-44.5561,74.35,87,1.36,99
Fort-Shevchenko,KZ,1613200703,44.5086,50.263,43.72,94,10.36,100
Vao,NC,1613200704,-22.6667,167.4833,79.77,76,6.62,0
Kasama,ZM,1613200705,-10.2129,31.1808,69.22,89,9.46,100
Puri,IN,1613200706,19.8,85.85,91.4,33,4.61,0
Belyy Yar,RU,1613200707,53.6039,91.3903,-7.6,64,4.47,100
Griffith,US,1613200708,41.5284,-87.4237,12.2,79,5.75,90
Berlevåg,NO,1613200710,70.8578,29.0864,17.69,92,13.27,59
Oussouye,SN,1613200711,12.485,-16.5469,71.6,83,9.22,0
Ukiah,US,1613200473,39.1502,-123.2078,51.8,76,3.44,90
Netrakona,BD,1613200713,24.8833,90.7167,85.01,28,2.82,32
Bambous Virieux,MU,1613200714,-20.3428,57.7575,86.0,58,13.8,75
Guangming,CN,1613200715,45.3333,122.7833,28.99,77,8.68,0
Adré,TD,1613200716,13.4667,22.2,73.0,22,19.95,0
Mayya,RU,1613200717,61.7333,130.2811,-2.2,84,4.47,0
Brae,GB,1613200719,60.3964,-1.353,37.4,52,27.63,75
Alghero,IT,1613200720,40.5589,8.3181,50.0,93,18.41,75
Ciudad Sabinas Hidalgo,MX,1613200721,26.5,-100.1667,42.85,69,4.07,91
Matagami,CA,1613200722,49.7502,-77.6328,-11.2,84,8.05,84
Havre-St-Pierre,CA,1613200723,50.2334,-63.5986,17.6,62,5.75,90
Garmsār,IR,1613200724,35.2182,52.3409,60.85,28,2.48,0
Pattani,TH,1613200725,6.75,100.4167,87.8,55,11.5,75
Marystown,CA,1613200726,47.1666,-55.1483,26.53,92,16.91,0
Tanete,ID,1613200728,-3.9443,119.7848,88.11,57,10.02,91
Valverde del Camino,ES,1613200729,37.5751,-6.7543,46.0,75,1.99,100
Épernay,FR,1613200730,49.05,3.95,19.0,67,6.91,0
Ambulu,ID,1613200731,-8.345,113.6058,82.4,77,5.95,100
Hofn,IS,1613200732,64.2539,-15.2082,39.47,84,18.01,100
Qobustan,AZ,1613200733,40.0824,49.412,48.2,76,23.02,90
Xichang,CN,1613200734,27.8964,102.2634,71.01,19,3.91,41
Russell,US,1613200735,32.3502,-85.1999,48.2,87,5.75,90
Kaitangata,NZ,1613200737,-46.2817,169.8464,63.0,85,4.0,0
Yumen,CN,1613200738,40.2833,97.2,48.36,43,17.58,0
Gwanda,ZW,1613200739,-20.9333,29.0,74.5,70,1.5,66
Gorin,RU,1613200740,51.1983,136.6669,20.64,96,4.56,99
Sahāranpur,IN,1613200742,29.9667,77.55,71.6,53,4.61,75
Qaqortoq,GL,1613200743,60.7167,-46.0333,42.8,31,34.52,75
Znamenskoye,RU,1613200744,57.1281,73.8282,-4.63,90,8.72,100
Lázaro Cárdenas,MX,1613200746,17.9583,-102.2,66.2,83,4.97,0
Chara,RU,1613200748,56.9064,118.2631,-7.08,80,4.74,100
Barreirinhas,BR,1613200749,-2.7469,-42.8264,77.2,90,5.44,100
Novobelokatay,RU,1613200751,55.7062,58.9549,33.44,93,5.46,100
Senador Guiomard,BR,1613200753,-10.1522,-67.7392,75.2,100,4.61,20
Chunskiy,RU,1613200754,56.0815,99.6342,0.37,89,4.29,100
Vaxjo,SE,1613200711,56.8777,14.8091,15.01,92,3.44,0
Takapau,NZ,1613200757,-40.0333,176.35,66.99,63,1.01,95
Svetlaya,RU,1613200759,46.5389,138.3297,35.55,83,5.75,100
Zima,RU,1613200760,53.9202,102.0442,-2.76,90,5.66,99
Tashara,RU,1613200761,55.5195,83.5094,-9.49,87,4.9,100
Maningrida,AU,1613200762,-12.0667,134.2667,86.65,72,10.33,93
Kpandu,GH,1613200763,6.9954,0.2931,79.95,81,4.27,0
Annau,TM,1613200748,37.8876,58.516,62.6,42,9.22,0
Landerneau,FR,1613200765,48.4525,-4.2525,33.8,80,14.97,0
Kahului,US,1613200766,20.8947,-156.47,73.4,73,9.22,40
George Town,MY,1613200733,5.4112,100.3354,91.4,62,10.36,40
Funtua,NG,1613200769,11.5233,7.3081,63.82,25,10.76,0
George Town,MY,1613200770,5.4112,100.3354,91.4,62,10.36,40
Marsh Harbour,BS,1613200771,26.5412,-77.0636,74.79,83,16.24,99
Alibag,IN,1613200772,18.6411,72.8792,86.0,32,8.05,0
Esperance,AU,1613200774,-33.8667,121.9,78.8,47,19.57,0
Arethousa,GR,1613200775,40.7435,23.5898,37.0,70,3.0,100
Vyazemskiy,RU,1613200777,47.5378,134.7525,27.97,97,1.72,0
Kasongo-Lunda,CD,1613200778,-6.4667,16.8167,78.33,72,1.72,32
Mahon,ES,1613200779,39.8885,4.2658,51.8,82,16.11,40
Oltu,TR,1613200780,40.5498,42.0013,38.07,75,4.0,100
